timestamp,source,cve_id,description,model,attack_type,cvss_score,severity,cwe_ids,published,keyword_match,eu_ai_act_risk,success_rate,defense_efficacy,defense_mechanism,defense_mature,new_technique,threat_score,atlas_id,name,tactic,record_type,owasp_id
2026-03-09T13:10:00.771701+00:00,nvd,CVE-2026-30247,"WeKnora is an LLM-powered framework designed for deep document understanding and semantic retrieval. Prior to version 0.2.12, the application's ""Import document via URL"" feature is vulnerable to Server-Side Request Forgery (SSRF) through HTTP redirects. While the backend implements comprehensive URL validation (blocking private IPs, loopback addresses, reserved hostnames, and cloud metadata endpoints), it fails to validate redirect targets. An attacker can bypass all protections by using a redir",generic,other,5.9,MEDIUM,"[""CWE-918""]",2026-03-07T04:15:54.560,LLM,minimal,0.0,0.0,unknown,False,False,41.7,,,,,
2026-03-09T13:10:00.771701+00:00,nvd,CVE-2026-30855,"WeKnora is an LLM-powered framework designed for deep document understanding and semantic retrieval. Prior to version 0.3.2, an authorization bypass in tenant management endpoints of WeKnora application allows any authenticated user to read, modify, or delete any tenant by ID. Since account registration is open to the public, this vulnerability allows any unauthenticated attacker to register an account and subsequently exploit the system. This enables cross-tenant account takeover and destructio",generic,other,8.8,HIGH,"[""CWE-284""]",2026-03-07T17:15:53.053,LLM,minimal,0.0,0.0,unknown,False,False,50.4,,,,,
2026-03-09T13:10:00.771701+00:00,nvd,CVE-2026-30856,"WeKnora is an LLM-powered framework designed for deep document understanding and semantic retrieval. Prior to version 0.3.0,  a vulnerability involving tool name collision and indirect prompt injection allows a malicious remote MCP server to hijack tool execution. By exploiting an ambiguous naming convention in the MCP client (mcp_{service}_{tool}), an attacker can register a malicious tool that overwrites a legitimate one (e.g., tavily_extract). This enables the attacker to redirect LLM executi",generic,prompt_injection,5.9,MEDIUM,"[""CWE-706""]",2026-03-07T17:15:53.210,LLM,high,0.78,0.65,Input sanitization + output filtering,False,False,63.1,,,,,
2026-03-09T13:10:00.771701+00:00,nvd,CVE-2026-30857,"WeKnora is an LLM-powered framework designed for deep document understanding and semantic retrieval. Prior to version 0.3.0, a cross-tenant authorization bypass in the knowledge base copy endpoint allows any authenticated user to clone (duplicate) another tenant’s knowledge base into their own tenant by knowing/guessing the source knowledge base ID. This enables bulk data exfiltration (document/FAQ content) across tenants. This issue has been patched in version 0.3.0.",generic,data_exfiltration,5.3,MEDIUM,"[""CWE-639""]",2026-03-07T17:15:53.370,LLM,high,0.29,0.6,Differential privacy + output filtering,False,True,47.6,,,,,
2026-03-09T13:10:00.771701+00:00,nvd,CVE-2026-30858,"WeKnora is an LLM-powered framework designed for deep document understanding and semantic retrieval. Prior to version 0.3.0, a DNS rebinding vulnerability in the web_fetch tool allows an unauthenticated attacker to bypass URL validation and access internal resources on the server, including private IP addresses (e.g., 127.0.0.1, 192.168.x.x). By crafting a malicious domain that resolves to a public IP during validation and subsequently resolves to a private IP during execution, an attacker can a",generic,remote_code_execution,6.5,MEDIUM,"[""CWE-918""]",2026-03-07T17:15:53.523,LLM,high,0.15,0.8,Sandboxing + input validation,True,True,43.0,,,,,
2026-03-09T13:10:00.771701+00:00,nvd,CVE-2026-30859,"WeKnora is an LLM-powered framework designed for deep document understanding and semantic retrieval. Prior to version 0.2.12, a broken access control vulnerability in the database query tool allows any authenticated tenant to read sensitive data belonging to other tenants, including API keys, model configurations, and private messages. The application fails to enforce tenant isolation on critical tables (models, messages, embeddings), enabling unauthorized cross-tenant data access with user-leve",generic,remote_code_execution,5.3,MEDIUM,"[""CWE-284""]",2026-03-07T17:15:53.673,LLM,high,0.15,0.8,Sandboxing + input validation,True,True,39.4,,,,,
2026-03-09T13:10:00.771701+00:00,nvd,CVE-2026-30860,"WeKnora is an LLM-powered framework designed for deep document understanding and semantic retrieval. Prior to version 0.2.12, a remote code execution (RCE) vulnerability exists in the application's database query functionality. The validation system fails to recursively inspect child nodes within PostgreSQL array expressions and row expressions, allowing attackers to bypass SQL injection protections. By smuggling dangerous PostgreSQL functions inside these expressions and chaining them with larg",generic,remote_code_execution,9.9,CRITICAL,"[""CWE-89""]",2026-03-07T17:15:53.823,LLM,high,0.15,0.8,Sandboxing + input validation,True,False,53.2,,,,,
2026-03-09T13:10:00.771701+00:00,nvd,CVE-2026-30861,"WeKnora is an LLM-powered framework designed for deep document understanding and semantic retrieval. From version 0.2.5 to before version 0.2.10, an unauthenticated remote code execution (RCE) vulnerability exists in the MCP stdio configuration validation. The application allows unrestricted user registration, meaning any attacker can create an account and exploit the command injection flaw. Despite implementing a whitelist for allowed commands (npx, uvx) and blacklists for dangerous arguments a",generic,remote_code_execution,9.9,CRITICAL,"[""CWE-78""]",2026-03-07T17:15:53.980,LLM,high,0.15,0.8,Sandboxing + input validation,True,False,53.2,,,,,
2026-03-09T13:10:00.771701+00:00,nvd,CVE-2026-30820,"Flowise is a drag & drop user interface to build a customized large language model flow. Prior to version 3.0.13, Flowise trusts any HTTP client that sets the header x-request-from: internal, allowing an authenticated tenant session to bypass all /api/v1/** authorization checks. With only a browser cookie, a low-privilege tenant can invoke internal administration endpoints (API key management, credential stores, custom function execution, etc.), effectively escalating privilege. This issue has b",generic,other,0.0,UNKNOWN,"[""CWE-863""]",2026-03-07T05:16:26.243,large language model,minimal,0.0,0.0,unknown,False,False,24.0,,,,,
2026-03-09T13:10:00.771701+00:00,nvd,CVE-2026-30821,"Flowise is a drag & drop user interface to build a customized large language model flow. Prior to version 3.0.13, the /api/v1/attachments/:chatflowId/:chatId endpoint is listed in WHITELIST_URLS, allowing unauthenticated access to the file upload API. While the server validates uploads based on the MIME types defined in chatbotConfig.fullFileUpload.allowedUploadFileTypes, it implicitly trusts the client-provided Content-Type header (file.mimetype) without verifying the file's actual content (mag",generic,remote_code_execution,0.0,UNKNOWN,"[""CWE-434""]",2026-03-07T05:16:26.907,large language model,high,0.15,0.8,Sandboxing + input validation,True,True,23.5,,,,,
